uniqueID,drugName,condition,review,rating,rating_class,topic
96233,SSRI,Depression,"""1 week on drug for anxiety and mood swings. i take dosis in the mornings with my breakfast. nausea on day one  but that subsided as the week went on.  i get the jitters about 2 hrs after taking it followed by yawning. i feel much better though and less angry/stressed.""",positive,positive_SSRI,-1
121333,SNRI,Depression,"""my gp started me on drug yesterday to help with depression and the change,a hour after taking them i was feeling very sick couldn,t stomach food or fluids, thought keep it up as she told me they did come with some side effects which would get better,took another one last night and was so ill i couldn,t stand ,being sick sweating shaking thought i was going to pass out. did get some sleep hopeing to feel better this morning,took another one and felt so spaced out dry mouth shaking ,sick, so booked in to see gp again to make sure i should be feeling like this, only to find out she had put me on the wrong dose should have been on 37.dosis was put on dosis, now on right dose hope this will be better""",negative,negative_SNRI,-1
131909,SNRI,Depression,"""this medicine saved my life. i was at my wits end with anti-depressants and was ready to give up. my doctor finally prescribed me this after many failed medications, i am so glad she did. i honestly do not know where i would be without drug  side effects were very mild compared to other anti-depressants i tried. i was drowsy for the first couple days, but it was tolerable. i highly recommend this for severe depression. i would also like to mention for people to realize there is light at the end of the tunnel and you will get better, and to never give up.""",positive,positive_SNRI,-1
45237,SSRI,Depression,"""i started drug as one of my first anti depressants for mdd

 it made me horribly sick. i was nauseous all day, and wouldn't eat for days at a time. i stayed on it to try and get thorough the side effects but they wouldn't stop, i was throwing up every other day

one day i woke up and i started to violently shake, this lasted for over 12 hours until i ended up in the hospital with tachycardia. 

this was a horrible experience and months later i still have stomach and heart issues, i'm on new medications now, but because of my bad experience i get very anxious when i take them""",negative,negative_SSRI,-1
186257,SNRI,Depression,"""this medication is amazing! after 3 days of being extremely sick, i started to feel amazing, i am now 1 month into it and am so happy all the time and have no depressive thoughts at all. it kind of blocks out any sad thoughts. works perfectly for me.""",positive,positive_SNRI,-1
45238,SSRI,Depression,"""my genius psychiatrist started me on this drug in the fall of 2008.  the first few weeks i felt even worse than before i had started taking the drug.  after many months on the drug i was eventually taking dosis a day, and having manic thoughts and episodes.  my psychiatrist decided i was bi-polar and then started me on drug (rather than give me a break for my nervous system to re-adjust to it's natural state), which i also ended up taking for about 6 months and at about the same dose.  in retrospect i wish i hadn't taken either drug(drug) or drug(drug).""",negative,negative_SSRI,-1
126017,SSRI,Depression,"""i just want to say that after taking a lot of other anti-depressant meds, this is the one! besides only having 1 side-effect (diarrhea), that went away after 2 wks, it's really changed my life!!! i recommend this to anyone who has tried other meds that have not worked""",positive,positive_SSRI,-1
94168,SSRI,Depression,"""this drug causes persistent nausea in some users as per their website. for most people it goes away after a few weeks--but not all. initially i was also itchy and a little weepy (went away after 2 weeks). if you have a history of being unusually nausea prone (ie pregnancy) in my experience you may wind up in the persistent nausea group. i will have to switch as i don't want to be chained to zofran. otherwise, worked fine as an alternative to drug. fewer side effects--unfortunately the one side effect it did cause is pretty debilitating in my case!""",negative,negative_SSRI,-1
45291,SSRI,Depression,"""after being suicidal for many months and self harming in addition to extreme anxiety. i had taken drug  6 years earlier and didn't work at all has now almost eliminated my depression. i feel happier than i have in years. the only downside is i have gained about 20 lbs. my lowest weight was 133, considered healthy for someone 5'7 and athletic, but despite my clean eating and exercise i've blown up to 163 lbs in 2 years and nothing seems to get the weight off. this has been my only negative side effect. i choose my mental health over my body image although i also have an eating disorder bdd.""",positive,positive_SSRI,-1
205953,SNRI,Depression,"""this will be my third week on drug dosis and so far i'm feeling quite positive and free of depressive feelings, however that's only if i get a good night's sleep. i have tried one temazapam which works well but after the third day the build up in my system makes me feel very fatigued. """,positive,positive_SNRI,-1
